Angels Ink,CA,Pinot Noir - Up to - $17.99,2021,Central Coast,,Pinot Noir,$17.99,Gold
Ankida Ridge Vineyards,VA,Pinot Noir - $55.00 - $59.99,2022,Virginia,,Pinot Noir,$59.00,Silver
Annabella,CA,Chardonnay - $23.00 - $27.99,2022,Napa Valley,,Chardonnay,$25.00,Bronze
Annabella,CA,Sauvignon Blanc/Fume - $17.00 - $21.99,2022,Napa Valley,,Sauvignon Blanc,$20.00,Double Gold
Annadel Estate Winery,CA,Red Blend: Merlot leading blend - $40.00 & Over,2019,Sonoma Valley,,Chevy B Blend,$67.00,Gold
Annadel Estate Winery,CA,Sauvignon Blanc/Fume - $31.00 and over,2022,Russian River Valley,,Sauvignon Blanc,$39.00,Gold
Annadel Estate Winery,CA,Merlot - 40.00 & Over,2019,Sonoma Valley,Reserve,Merlot,$72.00,Silver
Annadel Estate Winery,CA,Chardonnay - $46.00 & Over,2022,Sonoma Coast,Gap's Crown Vineyard,Chardonnay,$58.00,White Sweepstakes
Anthony Anderson Selections,CA,Packaging: Surface Designs,2019,Oakville,Napa Valley,Malbec,$80.00,Gold
Aquinas,CA,Cab Sauv - $16.00 - $19.99,2021,North Coast,,Cabernet Sauvignon,$17.99,Gold
Aratas Wine,VA,Petite Sirah - $47.00 & Over,2018,Amador County,Shake Ridge,Petite Sirah,$58.00,Double Gold
Aratas Wine,VA,Petite Sirah - $47.00 & Over,2019,Napa Valley; Rutherford,,Petite Sirah,$58.00,Double Gold
Archer Vineyard,OR,Pinot Gris/Grigio - $18.00 & Over,2022,Chehalem Mountains,Archer Reserve,Pinot Gris,$36.00,Gold
Archer Vineyard,OR,Cab Sauv - $70.00 - $79.99,2019,Columbia Valley,,Cabernet Sauvigon,$70.00,Silver
Archer Vineyard,OR,Dry Rose (one varietal) - RS 0,2022,Chehalem Mountains,,Estate Rose,$36.00,Silver
Archer Vineyard,OR,Pinot Noir - $55.00 - $59.99,2016,Willamette Valley,Old Vine,Pinot Noir,$55.00,Silver
Archer Vineyard,OR,Pinot Noir - $60.00 - $69.99,2018,Chehalem Mountains,Archer Estate Vineyard,Pinot Noir,$65.00,Silver
Archer Vineyard,OR,Pinot Noir - $70.00 and Over,2018,Chehalem Mountains,Archer Reserve,Pinot Noir,$75.00,Silver
Arcturos,MI,Riesling - Dry <.99 RS,2022,Old Mission Peninsula,,Dry Riesling,$19.00,Gold
Arcturos,MI,Pinot Gris/Grigio - $18.00 & Over,2022,Michigan,,Pinot Gris,$19.00,Silver
Argonne Cellars,WA,Petit Verdot - Up to - $45.99,2020,Red Mountain,,Petit Verdot,$39.00,Double Gold
